idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
58241;1.0;1.0;DE;7.0;10.0;4.0;5.0;1;1.0;3.0;42.0;7.0;10.0;10.0;5.0;7.0;1;1
58255;1.0;1.0;DE;3.0;6.0;4.0;5.0;0;1.0;1.0;37.0;3.0;5.0;8.0;2.0;4.0;1;1
58263;1.0;1.0;DE;7.0;10.0;2.0;5.0;1;4.0;2.0;59.0;8.0;9.0;9.0;5.0;6.0;1;1
58277;3.0;1.0;DE;7.0;8.0;2.0;5.0;0;1.0;3.0;58.0;9.0;10.0;9.0;7.0;5.0;1;0
58289;1.0;1.0;DE;3.0;10.0;4.0;5.0;0;1.0;4.0;42.0;8.0;9.0;10.0;7.0;6.0;1;1
58300;3.0;1.0;DE;7.0;10.0;2.0;5.0;0;1.0;1.0;76.0;7.0;7.0;7.0;4.0;4.0;1;0
58302;1.0;1.0;DE;3.0;2.0;2.0;1.0;0;1.0;3.0;73.0;4.0;0.0;8.0;3.0;4.0;1;1
58333;1.0;1.0;DE;3.0;2.0;2.0;1.0;0;1.0;3.0;73.0;7.0;5.0;3.0;7.0;6.0;1;1
58349;1.0;1.0;DE;3.0;7.0;4.0;5.0;1;1.0;4.0;45.0;5.0;8.0;8.0;5.0;5.0;1;1
58372;1.0;1.0;DE;5.0;8.0;4.0;5.0;1;1.0;3.0;39.0;5.0;4.0;4.0;4.0;3.0;1;1
58395;1.0;1.0;DE;5.0;10.0;3.0;5.0;0;5.0;4.0;82.0;8.0;9.0;9.0;7.0;7.0;1;1
58406;1.0;1.0;DE;3.0;7.0;2.0;5.0;0;1.0;1.0;61.0;2.0;4.0;8.0;3.0;1.0;1;1
58415;3.0;1.0;DE;7.0;7.0;2.0;5.0;1;1.0;3.0;80.0;4.0;4.0;4.0;4.0;4.0;1;0
58448;1.0;1.0;DE;3.0;10.0;4.0;5.0;1;6.0;4.0;20.0;8.0;9.0;8.0;8.0;7.0;1;1
58458;1.0;1.0;DE;2.0;5.0;5.0;5.0;1;1.0;4.0;33.0;2.0;1.0;7.0;2.0;2.0;1;1
58463;1.0;2.0;DE;3.0;9.0;5.0;5.0;1;1.0;4.0;45.0;1.0;1.0;5.0;0.0;1.0;0;1
58466;1.0;1.0;DE;5.0;10.0;4.0;5.0;1;6.0;4.0;22.0;8.0;8.0;9.0;7.0;7.0;1;1
58473;1.0;1.0;DE;5.0;4.0;1.0;5.0;0;1.0;4.0;85.0;6.0;8.0;8.0;4.0;4.0;1;1
