idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
57259;1.0;1.0;FR;4.0;9.0;1.0;5.0;1;1.0;1.0;65.0;5.0;4.0;10.0;5.0;5.0;1;1
57260;3.0;1.0;FR;7.0;8.0;4.0;5.0;0;1.0;4.0;54.0;7.0;6.0;9.0;6.0;4.0;1;0
57286;3.0;1.0;FR;7.0;10.0;4.0;5.0;1;2.0;3.0;44.0;4.0;6.0;7.0;1.0;1.0;1;0
57315;1.0;1.0;FR;4.0;8.0;3.0;4.0;0;1.0;4.0;53.0;1.0;5.0;9.0;2.0;1.0;1;1
57359;1.0;1.0;FR;7.0;9.0;2.0;5.0;0;1.0;2.0;77.0;3.0;8.0;8.0;5.0;3.0;1;1
57360;1.0;1.0;FR;5.0;8.0;3.0;5.0;1;2.0;4.0;39.0;5.0;6.0;7.0;4.0;4.0;1;1
57365;1.0;1.0;FR;1.0;6.0;2.0;3.0;0;1.0;3.0;74.0;4.0;7.0;8.0;8.0;4.0;1;1
57428;3.0;1.0;FR;3.0;8.0;4.0;5.0;0;1.0;5.0;53.0;3.0;5.0;5.0;4.0;4.0;1;0
57448;1.0;1.0;FR;5.0;9.0;4.0;5.0;1;1.0;2.0;43.0;5.0;6.0;8.0;5.0;5.0;1;1
57462;3.0;1.0;FR;4.0;9.0;2.0;5.0;1;1.0;3.0;65.0;4.0;6.0;7.0;4.0;3.0;1;0
57509;1.0;1.0;FR;5.0;10.0;2.0;5.0;1;1.0;5.0;65.0;5.0;6.0;7.0;5.0;4.0;1;1
57579;1.0;1.0;FR;7.0;8.0;4.0;5.0;1;1.0;5.0;52.0;5.0;7.0;5.0;2.0;2.0;1;1
57586;3.0;1.0;FR;4.0;4.0;1.0;5.0;0;6.0;1.0;33.0;7.0;7.0;7.0;6.0;2.0;1;0
57607;1.0;1.0;FR;5.0;3.0;1.0;5.0;1;5.0;3.0;60.0;6.0;7.0;5.0;5.0;5.0;1;1
57626;1.0;1.0;FR;2.0;6.0;4.0;5.0;1;6.0;1.0;17.0;3.0;1.0;6.0;3.0;5.0;1;1
57661;3.0;1.0;FR;6.0;10.0;4.0;5.0;1;1.0;1.0;46.0;5.0;4.0;5.0;2.0;4.0;1;0
57665;1.0;1.0;FR;7.0;6.0;2.0;5.0;0;6.0;1.0;28.0;5.0;2.0;6.0;1.0;2.0;1;1
57700;3.0;1.0;FR;4.0;4.0;1.0;5.0;0;4.0;2.0;77.0;6.0;5.0;7.0;5.0;6.0;1;0
57726;1.0;1.0;FR;2.0;6.0;2.0;1.0;1;1.0;4.0;76.0;3.0;2.0;5.0;0.0;0.0;1;1
57727;3.0;1.0;FR;6.0;8.0;1.0;5.0;1;4.0;3.0;78.0;10.0;7.0;10.0;7.0;7.0;1;0
57732;1.0;1.0;FR;7.0;10.0;1.0;5.0;0;5.0;1.0;85.0;0.0;5.0;8.0;0.0;8.0;1;1
