idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
69773;3.0;1.0;IT;4.0;5.0;1.0;5.0;1;6.0;3.0;49.0;6.0;6.0;6.0;6.0;6.0;1;0
69799;1.0;1.0;IT;4.0;5.0;3.0;5.0;1;4.0;3.0;57.0;6.0;6.0;7.0;3.0;0.0;1;1
69826;1.0;1.0;IT;3.0;5.0;3.0;5.0;0;1.0;4.0;50.0;6.0;7.0;8.0;6.0;6.0;1;1
69836;1.0;2.0;IT;4.0;4.0;4.0;5.0;0;1.0;3.0;51.0;1.0;1.0;8.0;1.0;1.0;0;1
69840;3.0;1.0;IT;4.0;5.0;2.0;4.0;0;6.0;4.0;25.0;4.0;5.0;6.0;2.0;2.0;1;0
69855;1.0;1.0;IT;2.0;6.0;2.0;3.0;1;1.0;3.0;67.0;7.0;7.0;8.0;4.0;4.0;1;1
69860;3.0;1.0;IT;2.0;7.0;3.0;3.0;0;1.0;4.0;48.0;6.0;6.0;8.0;5.0;5.0;1;0
69862;3.0;1.0;IT;2.0;5.0;2.0;4.0;1;5.0;3.0;62.0;3.0;7.0;8.0;1.0;1.0;1;0
69868;3.0;1.0;IT;2.0;8.0;3.0;5.0;1;6.0;3.0;16.0;5.0;5.0;5.0;2.0;2.0;1;0
69893;3.0;2.0;IT;2.0;5.0;7.0;5.0;0;6.0;2.0;18.0;3.0;3.0;0.0;2.0;2.0;0;0
69903;3.0;1.0;IT;2.0;4.0;1.0;2.0;1;5.0;3.0;76.0;4.0;6.0;7.0;0.0;0.0;1;0
69959;3.0;1.0;IT;7.0;9.0;4.0;5.0;0;6.0;3.0;26.0;6.0;7.0;8.0;6.0;5.0;1;0
69978;1.0;1.0;IT;2.0;6.0;2.0;4.0;0;1.0;3.0;72.0;1.0;6.0;8.0;0.0;0.0;1;1
70010;1.0;1.0;IT;2.0;5.0;2.0;3.0;0;1.0;3.0;77.0;6.0;6.0;6.0;6.0;6.0;1;1
70024;1.0;1.0;IT;2.0;5.0;2.0;5.0;0;1.0;3.0;70.0;4.0;6.0;8.0;5.0;5.0;1;1
70025;1.0;1.0;IT;1.0;2.0;1.0;1.0;1;5.0;4.0;82.0;6.0;7.0;7.0;4.0;5.0;1;1
70040;3.0;1.0;IT;1.0;5.0;1.0;1.0;1;5.0;4.0;80.0;7.0;8.0;8.0;6.0;5.0;1;0
70043;1.0;1.0;IT;2.0;5.0;1.0;1.0;1;5.0;4.0;77.0;3.0;5.0;5.0;0.0;0.0;1;1
70048;1.0;1.0;IT;4.0;8.0;2.0;4.0;1;1.0;1.0;63.0;4.0;8.0;7.0;2.0;3.0;1;1
70057;3.0;1.0;IT;2.0;5.0;2.0;2.0;1;1.0;4.0;63.0;4.0;7.0;5.0;3.0;4.0;1;0
70085;3.0;1.0;IT;1.0;7.0;2.0;1.0;1;5.0;3.0;88.0;7.0;9.0;9.0;7.0;8.0;1;0
70090;3.0;1.0;IT;6.0;7.0;2.0;5.0;1;1.0;4.0;27.0;7.0;6.0;8.0;4.0;4.0;1;0
70093;1.0;1.0;IT;2.0;5.0;2.0;5.0;0;1.0;3.0;84.0;4.0;6.0;6.0;5.0;5.0;1;1
70099;3.0;1.0;IT;2.0;5.0;1.0;1.0;0;5.0;4.0;90.0;6.0;7.0;7.0;7.0;6.0;1;0
70111;1.0;1.0;IT;4.0;5.0;3.0;5.0;1;6.0;4.0;25.0;5.0;4.0;5.0;3.0;2.0;1;1
70118;1.0;1.0;IT;2.0;3.0;4.0;5.0;1;1.0;2.0;49.0;0.0;6.0;7.0;0.0;0.0;1;1
70145;1.0;1.0;IT;3.0;4.0;2.0;4.0;0;1.0;1.0;61.0;7.0;7.0;8.0;2.0;5.0;1;1
70162;1.0;1.0;IT;2.0;3.0;2.0;1.0;0;1.0;5.0;76.0;3.0;4.0;6.0;1.0;1.0;1;1
