idno;respc19a;vacc19;cntry;eisced;hinctnta;hhmmb;netusoft;gndr;maritalb;domicil;agea;trstprl;trstlgl;trstplc;trstplt;trstprt;vacc19_binary;respc19a_binary
77205;1.0;1.0;ES;5.0;9.0;4.0;5.0;1;1.0;3.0;47.0;6.0;6.0;8.0;1.0;3.0;1;1
77207;1.0;1.0;ES;2.0;5.0;3.0;5.0;0;6.0;4.0;22.0;0.0;5.0;7.0;0.0;0.0;1;1
77212;1.0;1.0;ES;6.0;5.0;5.0;5.0;0;1.0;4.0;40.0;5.0;6.0;4.0;5.0;4.0;1;1
77213;2.0;1.0;ES;5.0;7.0;2.0;5.0;0;6.0;1.0;33.0;1.0;1.0;2.0;0.0;0.0;1;1
77253;1.0;1.0;ES;6.0;8.0;2.0;5.0;1;1.0;1.0;58.0;5.0;4.0;6.0;3.0;3.0;1;1
77265;3.0;1.0;ES;4.0;2.0;2.0;4.0;0;1.0;4.0;67.0;2.0;0.0;7.0;2.0;2.0;1;0
77284;1.0;1.0;ES;1.0;1.0;1.0;1.0;1;4.0;4.0;78.0;5.0;5.0;7.0;5.0;5.0;1;1
77309;1.0;1.0;ES;7.0;10.0;3.0;5.0;0;6.0;3.0;33.0;3.0;6.0;8.0;2.0;2.0;1;1
77349;2.0;1.0;ES;1.0;4.0;2.0;2.0;0;1.0;4.0;67.0;3.0;5.0;5.0;0.0;0.0;1;1
77368;1.0;1.0;ES;5.0;8.0;5.0;5.0;0;1.0;4.0;43.0;1.0;1.0;3.0;1.0;1.0;1;1
77391;1.0;1.0;ES;1.0;1.0;1.0;5.0;1;6.0;3.0;34.0;3.0;4.0;7.0;2.0;3.0;1;1
77432;1.0;1.0;ES;7.0;9.0;2.0;5.0;0;6.0;1.0;33.0;0.0;8.0;8.0;0.0;0.0;1;1
77443;1.0;1.0;ES;4.0;10.0;2.0;5.0;1;1.0;1.0;72.0;6.0;3.0;8.0;6.0;7.0;1;1
77464;1.0;1.0;ES;1.0;3.0;2.0;1.0;0;1.0;4.0;77.0;8.0;9.0;9.0;5.0;5.0;1;1
77474;1.0;1.0;ES;4.0;5.0;5.0;5.0;1;6.0;3.0;24.0;6.0;6.0;7.0;6.0;6.0;1;1
77479;3.0;1.0;ES;5.0;2.0;4.0;5.0;1;1.0;3.0;47.0;4.0;2.0;5.0;1.0;1.0;1;0
77481;3.0;1.0;ES;3.0;2.0;1.0;5.0;1;6.0;3.0;45.0;5.0;3.0;3.0;3.0;0.0;1;0
77492;1.0;1.0;ES;1.0;2.0;3.0;5.0;1;4.0;1.0;62.0;5.0;5.0;8.0;3.0;3.0;1;1
77500;1.0;2.0;ES;1.0;9.0;6.0;5.0;0;6.0;3.0;16.0;4.0;5.0;7.0;4.0;4.0;0;1
77503;1.0;1.0;ES;7.0;6.0;2.0;5.0;1;6.0;1.0;30.0;3.0;3.0;3.0;2.0;1.0;1;1
77539;1.0;1.0;ES;2.0;5.0;4.0;5.0;1;6.0;4.0;17.0;6.0;7.0;6.0;6.0;6.0;1;1
77544;1.0;1.0;ES;7.0;4.0;2.0;4.0;1;1.0;1.0;58.0;0.0;4.0;10.0;0.0;0.0;1;1
77552;3.0;1.0;ES;4.0;9.0;4.0;5.0;0;6.0;3.0;30.0;8.0;8.0;10.0;9.0;9.0;1;0
77647;1.0;1.0;ES;1.0;6.0;4.0;5.0;1;1.0;4.0;64.0;6.0;2.0;5.0;6.0;3.0;1;1
77654;1.0;1.0;ES;2.0;5.0;2.0;5.0;1;6.0;2.0;17.0;7.0;7.0;8.0;6.0;6.0;1;1
77674;1.0;1.0;ES;5.0;5.0;2.0;5.0;0;1.0;3.0;72.0;1.0;8.0;10.0;0.0;0.0;1;1
